[0,2] signed spanning sets;
Z_6; [(1), (2), (3)];
Z_7; [(1), (2), (3)];
Z_8; [(1), (2), (3)];
Z_9; [(1), (2), (3)];
Z_10; [(1), (2), (3)];
Z_11; [(1), (2), (3)];
Z_12; [(1), (2), (3)];
Z_13; [(1), (2), (3)];
Z_14; [(1), (2), (5)];
Z_15; [(1), (2), (4)];
Z_16; [(1), (2), (6)];
Z_17; [(1), (2), (6)];
Z_18; [(1), (2), (7)];
Z_19; [(1), (2), (7)];
Z_20; [(1), (5), (8)];
Z_21; [(1), (2), (8)];
Z_22; No spanning set
Z_23; No spanning set
Z_24; No spanning set
Z_25; No spanning set
[0,3] signed spanning sets;
Z_8; [(1), (2), (3)];
Z_9; [(1), (2), (3)];
Z_10; [(1), (2), (3)];
Z_11; [(1), (2), (3)];
Z_12; [(1), (2), (3)];
Z_13; [(1), (2), (3)];
Z_14; [(1), (2), (3)];
Z_15; [(1), (2), (3)];
Z_16; [(1), (2), (3)];
Z_17; [(1), (2), (3)];
Z_18; [(1), (2), (3)];
Z_19; [(1), (2), (3)];
Z_20; [(1), (2), (3)];
Z_21; [(1), (2), (4)];
Z_22; [(1), (2), (4)];
Z_23; [(1), (2), (4)];
Z_24; [(1), (2), (5)];
Z_25; [(1), (2), (5)];
Z_26; [(1), (2), (5)];
Z_27; [(1), (2), (6)];
Z_28; [(1), (2), (5)];
Z_29; [(1), (2), (6)];
Z_30; [(1), (2), (6)];
Z_31; [(1), (2), (7)];
Z_32; [(1), (2), (7)];
Z_33; [(1), (2), (7)];
Z_34; [(1), (2), (7)];
Z_35; [(1), (2), (10)];
Z_36; [(1), (2), (10)];
Z_37; [(1), (2), (8)];
Z_38; [(1), (2), (11)];
Z_39; [(1), (2), (11)];
Z_40; [(1), (2), (11)];
Z_41; [(1), (2), (16)];
Z_42; [(1), (4), (14)];
Z_43; [(1), (2), (12)];
Z_44; [(1), (2), (17)];
Z_45; [(1), (3), (17)];
Z_46; [(1), (4), (18)];
Z_47; [(1), (3), (13)];
Z_48; [(1), (7), (18)];
Z_49; [(1), (3), (19)];
Z_50; [(1), (8), (12)];
Z_51; No spanning set
Z_52; [(2), (10), (13)];
Z_53; No spanning set
Z_54; No spanning set
Z_55; [(1), (5), (21)];
Z_56; No spanning set
Z_57; No spanning set
Z_58; No spanning set
Z_59; No spanning set
Z_60; No spanning set
Z_61; No spanning set
Z_62; No spanning set
Z_63; No spanning set
[0,4] signed spanning sets;
Z_10; [(1), (2), (3)];
Z_11; [(1), (2), (3)];
Z_12; [(1), (2), (3)];
Z_13; [(1), (2), (3)];
Z_14; [(1), (2), (3)];
Z_15; [(1), (2), (3)];
Z_16; [(1), (2), (3)];
Z_17; [(1), (2), (3)];
Z_18; [(1), (2), (3)];
Z_19; [(1), (2), (3)];
Z_20; [(1), (2), (3)];
Z_21; [(1), (2), (3)];
Z_22; [(1), (2), (3)];
Z_23; [(1), (2), (3)];
Z_24; [(1), (2), (3)];
Z_25; [(1), (2), (3)];
Z_26; [(1), (2), (3)];
Z_27; [(1), (2), (4)];
Z_28; [(1), (2), (4)];
Z_29; [(1), (2), (4)];
Z_30; [(1), (2), (4)];
Z_31; [(1), (2), (4)];
Z_32; [(1), (2), (5)];
Z_33; [(1), (2), (5)];
Z_34; [(1), (2), (5)];
Z_35; [(1), (2), (5)];
Z_36; [(1), (2), (5)];
Z_37; [(1), (2), (6)];
Z_38; [(1), (2), (5)];
Z_39; [(1), (2), (6)];
Z_40; [(1), (2), (6)];
Z_41; [(1), (2), (6)];
Z_42; [(1), (2), (6)];
Z_43; [(1), (2), (7)];
Z_44; [(1), (2), (7)];
Z_45; [(1), (2), (7)];
Z_46; [(1), (2), (7)];
Z_47; [(1), (2), (7)];
Z_48; [(1), (2), (7)];
Z_49; [(1), (2), (9)];
Z_50; [(1), (2), (9)];
Z_51; [(1), (2), (9)];
Z_52; [(1), (2), (9)];
Z_53; [(1), (2), (8)];
Z_54; [(1), (2), (10)];
Z_55; [(1), (2), (10)];
Z_56; [(1), (2), (10)];
Z_57; [(1), (2), (10)];
Z_58; [(1), (2), (13)];
Z_59; [(1), (2), (13)];
Z_60; [(1), (2), (11)];
Z_61; [(1), (2), (11)];
Z_62; [(1), (2), (11)];
Z_63; [(1), (2), (14)];
Z_64; [(1), (2), (14)];
Z_65; [(1), (2), (14)];
Z_66; [(1), (2), (25)];
Z_67; [(1), (2), (12)];
Z_68; [(1), (2), (15)];
Z_69; [(1), (2), (15)];
Z_70; [(1), (3), (20)];
Z_71; [(1), (2), (20)];
Z_72; [(1), (3), (16)];
Z_73; [(1), (2), (16)];
Z_74; [(1), (3), (20)];
Z_75; [(1), (3), (16)];
Z_76; [(1), (3), (30)];
Z_77; [(1), (3), (17)];
Z_78; [(1), (4), (17)];
Z_79; [(1), (3), (17)];
Z_80; [(1), (3), (22)];
Z_81; [(1), (3), (23)];
Z_82; [(1), (4), (18)];
Z_83; [(1), (3), (23)];
Z_84; [(1), (3), (32)];
Z_85; [(1), (4), (19)];
Z_86; [(1), (4), (24)];
Z_87; [(1), (3), (19)];
Z_88; [(1), (4), (33)];
Z_89; [(1), (3), (25)];
Z_90; [(1), (4), (25)];
Z_91; [(1), (5), (26)];
Z_92; [(1), (10), (38)];
Z_93; [(1), (4), (26)];
Z_94; [(1), (5), (36)];
Z_95; [(1), (4), (36)];
Z_96; [(1), (5), (26)];
Z_97; [(1), (5), (21)];
Z_98; [(1), (6), (38)];
Z_99; [(1), (5), (27)];
Z_100; [(1), (16), (22)];
Z_101; [(1), (11), (27)];
Z_102; [(1), (10), (43)];
Z_103; No spanning set
Z_104; [(4), (13), (20)];
Z_105; [(1), (5), (41)];
Z_106; No spanning set
Z_107; No spanning set
Z_108; No spanning set
Z_109; No spanning set
Z_110; No spanning set
Z_111; [(1), (5), (31)];
Z_112; No spanning set
Z_113; No spanning set
Z_114; No spanning set
Z_115; No spanning set
Z_116; No spanning set
Z_117; [(1), (16), (22)];
Z_118; No spanning set
Z_119; No spanning set
Z_120; No spanning set
Z_121; No spanning set
Z_122; No spanning set
Z_123; No spanning set
Z_124; No spanning set
Z_125; No spanning set
Z_126; No spanning set
Z_127; No spanning set
Z_128; No spanning set
Z_129; No spanning set
